epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,7214.94,0.51051,0.31259,0.95659,0.80497,0.72037,0.73475,0.48094,1.5135,1.19617,1.70816,0.000497634,0.000497634,0.000497634
124,7269.19,0.51295,0.31159,0.9575,0.84971,0.70591,0.74162,0.48126,1.44991,1.1668,1.68874,0.000494885,0.000494885,0.000494885
125,7330.07,0.51379,0.31089,0.95687,0.83968,0.7204,0.73734,0.48562,1.48103,1.1603,1.70477,0.000492136,0.000492136,0.000492136
126,7383.76,0.50467,0.30737,0.94571,0.83942,0.70818,0.73002,0.46218,1.49562,1.3194,1.68762,0.000489387,0.000489387,0.000489387
127,7444.76,0.50015,0.30748,0.95037,0.80562,0.7262,0.77013,0.50439,1.4716,1.11978,1.71536,0.000486639,0.000486639,0.000486639
128,7501.33,0.50975,0.31112,0.9582,0.82586,0.72433,0.75656,0.50255,1.46983,1.19135,1.69711,0.00048389,0.00048389,0.00048389
129,7561.27,0.50632,0.30538,0.96031,0.89166,0.70262,0.75906,0.50221,1.44804,1.18593,1.72643,0.000481141,0.000481141,0.000481141
130,7620.68,0.50009,0.30768,0.95031,0.86276,0.71871,0.75787,0.49805,1.46398,1.06677,1.72699,0.000478392,0.000478392,0.000478392
131,7680.36,0.50102,0.30597,0.95855,0.87162,0.71244,0.75773,0.51092,1.45833,1.02718,1.7432,0.000475643,0.000475643,0.000475643
132,7740.1,0.49761,0.30827,0.94929,0.8135,0.72474,0.75999,0.49177,1.47168,1.07085,1.74282,0.000472894,0.000472894,0.000472894
133,7799.26,0.49258,0.30593,0.94646,0.84597,0.71708,0.76478,0.48534,1.49974,1.1334,1.7632,0.000470145,0.000470145,0.000470145
134,7858.74,0.48956,0.30165,0.94716,0.80902,0.71412,0.75123,0.4824,1.47444,1.14679,1.72835,0.000467396,0.000467396,0.000467396
135,7918.47,0.49247,0.30226,0.95353,0.78393,0.73703,0.75055,0.48482,1.49623,1.16531,1.76724,0.000464647,0.000464647,0.000464647
